step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
1,3.57596,0.36913,,
2,3.63129,0.37705,,
3,3.55267,0.44,,
4,3.46631,0.41818,,
5,3.03396,0.5,,
6,2.75994,0.42105,,
7,1.84965,0.51064,,
8,1.93278,0.53901,,
9,3.31979,0.33333,,
10,3.0033,0.33333,,
11,2.68386,0.44,,
12,2.7836,0.42623,,
13,2.06841,0.5,,
14,2.29934,0.50667,,
15,2.06757,0.4918,,
16,2.98876,0.34831,,
17,1.52837,0.58491,,
18,2.25943,0.46667,,
19,2.07311,0.71429,,
20,1.66084,0.64444,,
21,3.34893,0.36842,,
22,0.87482,0.78689,,
23,2.84875,0.42391,,
24,1.20964,0.68116,,
25,1.13399,0.68085,,
26,0.86045,0.76596,,
27,2.92245,0.42045,,
28,2.45214,0.54054,,
29,0.85821,0.89362,,
30,3.17839,0.43182,,
31,3.73167,0.28571,,
32,1.74291,0.55263,,
33,2.48919,0.375,,
34,2.29905,0.54545,,
35,1.02583,0.75676,,
36,2.25059,0.47273,,
37,3.56815,0.3125,,
38,3.13038,0.39597,,
39,1.94435,0.5,,
40,3.90397,0.33333,,
41,2.41375,0.5,,
42,1.10806,0.71014,,
43,3.17666,0.44186,,
44,11.2233,0.04412,,
45,3.23331,0.33333,,
46,2.70359,0.32955,,
47,3.29227,0.39394,,
48,0.99491,0.74528,,
49,2.20162,0.46667,,
50,1.71586,0.57333,,
51,0.57957,0.88406,,
52,1.07722,0.73333,,
53,0.30381,0.95745,,
54,1.56705,0.6,,
55,0.86801,0.77273,,
56,0.16873,0.95745,,
57,3.25387,0.34,,
58,0.53995,0.85849,,
59,3.35606,0.4,,
60,3.58975,0.30769,,
61,3.15784,0.33333,,
62,1.3727,0.69355,,
63,2.80822,0.57143,,
64,1.3385,0.71429,,
65,5.95666,0.175,,
66,5.44437,0.14706,,
67,2.93079,0.36364,,
68,2.18244,0.55263,,
69,0.5582,0.88406,,
70,2.21137,0.48913,,
71,1.13728,0.6,,
72,1.92801,0.625,,
73,3.8169,0.31148,,
74,2.24228,0.46875,,
75,1.8975,0.5618,,
76,2.05898,0.48718,,
77,7.3448,0.0,,
78,0.39837,0.93182,,
79,3.28148,0.39437,,
80,2.04815,0.56364,,
81,6.39044,0.34783,,
82,0.54849,0.81579,,
83,4.11036,0.25217,,
84,10.19723,0.25,,
85,2.23709,0.60526,,
86,3.38896,0.45833,,
87,1.76891,0.58,,
88,1.68099,0.55263,,
89,3.61556,0.36765,,
90,2.27008,0.52632,,
91,1.86668,0.78261,,
92,0.16942,0.97872,,
93,2.13913,0.53704,,
94,1.54675,0.61111,,
95,0.65268,0.78125,,
96,2.68693,0.43478,,
97,1.84706,0.48571,,
98,0.43585,0.91892,,
99,2.82179,0.375,,
100,1.68872,0.5814,,
101,0.77562,0.76923,,
102,1.264,0.66304,,
103,0.71831,0.85714,,
104,1.70645,0.71429,,
105,0.25788,0.93617,,
106,0.75151,0.8,,
107,0.41514,0.92029,,
108,3.16399,0.39394,,
109,1.19092,0.77273,,
110,0.39047,0.92105,,
111,0.71437,0.85714,,
112,1.40043,0.67647,,
113,0.94261,0.7377,,
114,1.8662,0.53913,,
115,0.93441,0.82022,,
116,0.02801,1.0,,
117,1.19214,0.5,,
118,2.07554,0.55034,,
119,0.19892,0.95082,,
120,0.32563,0.87037,,
121,0.55354,0.84211,,
122,0.85095,0.78182,,
123,0.66359,0.86842,,
124,0.43681,0.88679,,
125,0.63416,0.83721,,
126,0.75927,0.825,,
127,0.76482,0.76364,,
128,0.19801,0.94203,,
129,0.32712,0.95,,
130,0.10368,0.96296,,
131,0.3902,0.85484,,
132,0.05177,0.98551,,
133,0.17786,0.94318,,
134,0.25828,0.96629,,
135,0.14333,0.96774,,
136,5.50886,0.33333,,
137,0.27902,0.88372,,
138,0.14545,0.97436,,
139,0.11977,0.97368,,
140,1.45225,0.71812,,
141,0.20819,0.94545,,
142,0.46517,0.89091,,
143,0.41416,0.91509,,
144,0.49142,0.92308,,
145,0.51145,0.84,,
146,0.02712,1.0,,
147,0.5804,0.88043,,
148,1.01358,0.625,,
149,0.09538,0.98148,,
150,0.1235,0.9717,,
151,0.26392,0.92308,,
152,0.10568,0.97727,,
153,0.61029,0.85714,,
154,1.32185,0.65333,,
155,0.90839,0.75652,,
156,1.64309,0.5,,
157,0.46136,0.8,,
158,2.3346,0.33333,,
159,1.7936,0.54667,,
160,0.18323,0.95652,,
161,0.22619,0.95455,,
162,1.07706,0.68421,,
163,0.02058,1.0,,
164,0.4102,0.90566,,
165,0.61826,0.93617,,
166,0.34526,0.94595,,
167,0.36606,0.94737,,
168,0.36755,0.94737,,
169,1.44473,0.6,,
170,6.76086,0.33333,,
171,0.55842,0.82609,,
172,0.21752,0.96,,
173,0.10658,0.98361,,
174,0.41772,0.89474,,
175,2.23009,0.52941,,
176,0.30402,0.88,,
177,0.12039,0.97727,,
