step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
1,3.84963,0.40009,,
2,3.57305,0.42586,,
3,3.6991,0.39825,,
4,3.4052,0.42667,,
5,3.93999,0.3593,,
6,3.10847,0.43272,,
7,3.04722,0.40498,,
8,3.14467,0.38948,,
9,3.09427,0.39069,,
10,2.52271,0.43831,,
11,2.43706,0.48029,,
12,2.51237,0.44268,,
13,2.29877,0.48331,,
14,2.48871,0.43018,,
15,2.5127,0.44015,,
16,2.22011,0.48846,,
17,2.22485,0.47122,,
18,2.05421,0.51616,,
19,2.46878,0.44848,,
20,2.14846,0.50705,,
21,2.37861,0.44412,,
22,2.2603,0.48828,,
23,2.19672,0.48355,,
24,2.23984,0.46378,,
25,2.4516,0.44208,,
26,2.35362,0.44289,,
27,2.27977,0.47171,,
28,2.38538,0.42815,,
29,2.20039,0.47287,,
30,2.29486,0.47206,,
31,2.49637,0.43285,,
32,2.0433,0.50647,,
33,2.11218,0.48815,,
34,2.12804,0.48162,,
35,1.9807,0.50048,,
36,2.26838,0.47839,,
37,2.27042,0.46974,,
38,2.45506,0.44098,,
39,2.47212,0.44658,,
40,2.24199,0.47059,,
41,2.37737,0.44202,,
42,2.39517,0.45637,,
43,2.17489,0.49118,,
44,2.29495,0.46062,,
45,2.08623,0.50758,,
46,2.23361,0.47166,,
47,2.28935,0.46192,,
48,2.02087,0.50637,,
49,2.47052,0.44368,,
50,2.56911,0.42209,,
51,2.41795,0.453,,
52,2.35908,0.46976,,
53,1.93139,0.5198,,
54,2.20088,0.49313,,
55,2.00105,0.51103,,
56,2.32537,0.46703,,
57,2.28126,0.46012,,
58,2.1738,0.48282,,
59,1.98512,0.52266,,
60,2.29222,0.4674,,
61,2.22526,0.4912,,
62,2.33621,0.44629,,
63,2.17222,0.49509,,
64,2.14063,0.50498,,
65,2.28095,0.46545,,
66,2.23675,0.47309,,
67,2.52654,0.45289,,
68,1.92554,0.54164,,
69,2.21369,0.48655,,
70,2.13337,0.50089,,
71,1.85592,0.55222,,
72,2.03087,0.53801,,
73,2.16928,0.48202,,
74,2.29185,0.45148,,
75,1.89424,0.54776,,
76,1.90446,0.54413,,
77,2.0937,0.51385,,
78,2.17988,0.51499,,
79,2.03694,0.53273,,
80,2.16451,0.4722,,
81,2.29227,0.45857,,
82,2.18379,0.47884,,
83,2.09467,0.51307,,
84,2.13233,0.49618,,
85,1.84677,0.51685,,
86,2.02825,0.49339,,
87,2.32902,0.44487,,
88,2.15947,0.48797,,
89,2.34741,0.49064,,
90,2.20367,0.48835,,
91,2.2784,0.47905,,
92,2.10025,0.5036,,
93,2.1598,0.46807,,
94,2.39402,0.4513,,
95,2.03439,0.52013,,
